"covariate","mean","95% CI","species"
"Elevation",27573,"3108-50000","Nashville Warbler"
"Aspect",33690,"2089-50000","Nashville Warbler"
"Slope",25535,"6166-50000","Nashville Warbler"
"Precipitation",20000,"1000-50000","Nashville Warbler"
"Developed high intensity",43884,"2089-50000","Nashville Warbler"
"Max temperature",11000,"1000-46000","Nashville Warbler"
"Barren land",21457,"1069-50000","Nashville Warbler"
"Deciduous forest",29612,"1069-50000","Nashville Warbler"
"Evergreen forest",5147,"50-43884","Nashville Warbler"
"Mixed forest",25535,"10244-43884","Nashville Warbler"
"Shrub scrub",10244,"50-47961","Nashville Warbler"
"Grassland herbaceous",29612,"4128-50000","Nashville Warbler"
"Pasture hay",8205,"1069-43884","Nashville Warbler"
"Developed low intensity",17380,"1069-50000","Neotropic Cormorant"
"Cultivated crop",19418,"50-50000","Neotropic Cormorant"
"Woody wetland",19418,"50-50000","Neotropic Cormorant"
"Emergent wetland",13302,"1069-50000","Neotropic Cormorant"
"Ocean",25535,"50-50000","Neotropic Cormorant"
"Lakes",1069,"1069-5147","Neotropic Cormorant"
"Rivers",23496,"2089-50000","Neotropic Cormorant"
"Elevation",19418,"50-50000","Neotropic Cormorant"
"Aspect",25535,"1069-50000","Neotropic Cormorant"
"Slope",17380,"1069-47961","Neotropic Cormorant"
"Precipitation",20000,"1000-50000","Neotropic Cormorant"
"Developed high intensity",17380,"1069-50000","Neotropic Cormorant"
"Max temperature",20000,"1000-50000","Neotropic Cormorant"
"Barren land",17380,"1069-47961","Neotropic Cormorant"
"Deciduous forest",17380,"1069-50000","Neotropic Cormorant"
"Evergreen forest",17380,"1069-47961","Neotropic Cormorant"
"Mixed forest",19418,"50-50000","Neotropic Cormorant"
"Shrub scrub",15341,"2089-45922","Neotropic Cormorant"
"Grassland herbaceous",27573,"1069-50000","Neotropic Cormorant"
"Pasture hay",21457,"1069-50000","Neotropic Cormorant"
"Developed low intensity",2089,"1069-3108","Northern Cardinal"
"Cultivated crop",39806,"10244-50000","Northern Cardinal"
"Woody wetland",11263,"1069-50000","Northern Cardinal"
"Emergent wetland",50,"50-1069","Northern Cardinal"
"Ocean",29612,"2089-50000","Northern Cardinal"
"Lakes",43884,"31651-50000","Northern Cardinal"
"Rivers",3108,"50-31651","Northern Cardinal"
"Elevation",1069,"50-2089","Northern Cardinal"
"Aspect",2089,"1069-21457","Northern Cardinal"
"Slope",33690,"21457-47961","Northern Cardinal"
"Precipitation",32000,"4000-50000","Northern Cardinal"
"Developed high intensity",50,"50-50","Northern Cardinal"
"Max temperature",48000,"44000-50000","Northern Cardinal"
"Barren land",1069,"50-27573","Northern Cardinal"
"Deciduous forest",2089,"1069-31651","Northern Cardinal"
"Evergreen forest",3108,"1069-35729","Northern Cardinal"
"Mixed forest",25535,"5147-50000","Northern Cardinal"
"Shrub scrub",5147,"2089-11263","Northern Cardinal"
"Grassland herbaceous",19418,"1069-50000","Northern Cardinal"
"Pasture hay",3108,"2089-4128","Northern Cardinal"
"Developed low intensity",27573,"2089-50000","Northern Flicker"
"Cultivated crop",17380,"50-50000","Northern Flicker"
"Woody wetland",6166,"50-45922","Northern Flicker"
"Emergent wetland",17380,"1069-50000","Northern Flicker"
"Ocean",9224,"50-47961","Northern Flicker"
"Lakes",21457,"50-50000","Northern Flicker"
"Rivers",31651,"4128-50000","Northern Flicker"
"Elevation",29612,"1069-50000","Northern Flicker"
"Aspect",9224,"50-45922","Northern Flicker"
"Slope",9224,"1069-39806","Northern Flicker"
"Precipitation",20000,"1000-50000","Northern Flicker"
"Developed high intensity",50,"50-50","Northern Flicker"
"Max temperature",7000,"1000-20000","Northern Flicker"
"Barren land",13302,"1069-47961","Northern Flicker"
"Deciduous forest",11263,"1069-47961","Northern Flicker"
"Evergreen forest",41845,"4128-50000","Northern Flicker"
"Mixed forest",25535,"6166-50000","Northern Flicker"
"Shrub scrub",27573,"1069-50000","Northern Flicker"
"Grassland herbaceous",8205,"1069-45922","Northern Flicker"
"Pasture hay",13302,"50-47961","Northern Flicker"
"Developed low intensity",35729,"21457-47961","Northern Mockingbird"
"Cultivated crop",47961,"41845-50000","Northern Mockingbird"
"Woody wetland",50,"50-50","Northern Mockingbird"
"Emergent wetland",21457,"50-50000","Northern Mockingbird"
"Ocean",31651,"5147-47961","Northern Mockingbird"
"Lakes",35729,"1069-50000","Northern Mockingbird"
"Rivers",25535,"50-50000","Northern Mockingbird"
"Elevation",8205,"1069-23496","Northern Mockingbird"
"Aspect",15341,"50-50000","Northern Mockingbird"
"Slope",39806,"1069-50000","Northern Mockingbird"
"Precipitation",16000,"1000-50000","Northern Mockingbird"
"Developed high intensity",8205,"1069-27573","Northern Mockingbird"
"Max temperature",50000,"44000-50000","Northern Mockingbird"
"Barren land",43884,"25535-50000","Northern Mockingbird"
"Deciduous forest",50,"50-50","Northern Mockingbird"
"Evergreen forest",50,"50-50","Northern Mockingbird"
"Mixed forest",50,"50-1069","Northern Mockingbird"
"Shrub scrub",25535,"1069-50000","Northern Mockingbird"
"Grassland herbaceous",3108,"1069-7186","Northern Mockingbird"
"Pasture hay",1069,"50-2089","Northern Mockingbird"
"Developed low intensity",15341,"1069-47961","Northern Parula"
"Cultivated crop",8205,"50-47961","Northern Parula"
"Woody wetland",25535,"50-50000","Northern Parula"
"Emergent wetland",23496,"50-50000","Northern Parula"
"Ocean",41845,"5147-50000","Northern Parula"
"Lakes",2089,"2089-6166","Northern Parula"
"Rivers",29612,"1069-50000","Northern Parula"
"Elevation",25535,"50-50000","Northern Parula"
"Aspect",37767,"13302-50000","Northern Parula"
"Slope",1069,"50-35729","Northern Parula"
"Precipitation",32000,"6000-50000","Northern Parula"
"Developed high intensity",27573,"1069-50000","Northern Parula"
"Max temperature",34000,"18000-50000","Northern Parula"
"Barren land",13302,"50-50000","Northern Parula"
"Deciduous forest",3108,"50-43884","Northern Parula"
"Evergreen forest",3108,"1069-11263","Northern Parula"
"Mixed forest",4128,"1069-37767","Northern Parula"
"Shrub scrub",19418,"1069-50000","Northern Parula"
"Grassland herbaceous",17380,"50-50000","Northern Parula"
"Pasture hay",23496,"50-50000","Northern Parula"
"Developed low intensity",11263,"1069-47961","Northern Pintail"
"Cultivated crop",15341,"1069-47961","Northern Pintail"
"Woody wetland",17380,"50-50000","Northern Pintail"
"Emergent wetland",15341,"50-50000","Northern Pintail"
"Ocean",21457,"1069-50000","Northern Pintail"
"Lakes",21457,"1069-50000","Northern Pintail"
"Rivers",21457,"50-50000","Northern Pintail"
"Elevation",19418,"50-50000","Northern Pintail"
"Aspect",23496,"1069-50000","Northern Pintail"
"Slope",23496,"50-50000","Northern Pintail"
"Precipitation",24000,"1000-50000","Northern Pintail"
"Developed high intensity",13302,"50-50000","Northern Pintail"
"Max temperature",22000,"1000-50000","Northern Pintail"
"Barren land",23496,"1069-50000","Northern Pintail"
"Deciduous forest",15341,"1069-47961","Northern Pintail"
"Evergreen forest",15341,"1069-47961","Northern Pintail"
"Mixed forest",19418,"50-50000","Northern Pintail"
"Shrub scrub",25535,"3108-50000","Northern Pintail"
"Grassland herbaceous",21457,"1069-50000","Northern Pintail"
"Pasture hay",11263,"1069-47961","Northern Pintail"
"Developed low intensity",2089,"50-45922","Northern Rough-winged Swallow"
"Cultivated crop",9224,"50-45922","Northern Rough-winged Swallow"
"Woody wetland",31651,"2089-50000","Northern Rough-winged Swallow"
"Emergent wetland",35729,"1069-50000","Northern Rough-winged Swallow"
"Ocean",27573,"50-50000","Northern Rough-winged Swallow"
"Lakes",50,"50-50","Northern Rough-winged Swallow"
"Rivers",2089,"1069-9224","Northern Rough-winged Swallow"
"Elevation",17380,"50-50000","Northern Rough-winged Swallow"
"Aspect",10244,"50-47961","Northern Rough-winged Swallow"
"Slope",41845,"25535-50000","Northern Rough-winged Swallow"
"Precipitation",18000,"1000-50000","Northern Rough-winged Swallow"
"Developed high intensity",15341,"50-50000","Northern Rough-winged Swallow"
"Max temperature",7000,"1000-42000","Northern Rough-winged Swallow"
"Barren land",15341,"50-50000","Northern Rough-winged Swallow"
"Deciduous forest",50,"50-50","Northern Rough-winged Swallow"
"Evergreen forest",3108,"50-33690","Northern Rough-winged Swallow"
"Mixed forest",11263,"50-47961","Northern Rough-winged Swallow"
"Shrub scrub",19418,"50-50000","Northern Rough-winged Swallow"
"Grassland herbaceous",21457,"1069-50000","Northern Rough-winged Swallow"
"Pasture hay",19418,"1069-47961","Northern Rough-winged Swallow"
"Developed low intensity",13302,"1069-47961","Northern Shoveler"
"Cultivated crop",6166,"50-43884","Northern Shoveler"
"Woody wetland",21457,"50-50000","Northern Shoveler"
"Emergent wetland",9224,"1069-45922","Northern Shoveler"
"Ocean",21457,"50-50000","Northern Shoveler"
"Lakes",8205,"50-47961","Northern Shoveler"
"Rivers",19418,"50-50000","Northern Shoveler"
"Elevation",19418,"50-50000","Northern Shoveler"
"Aspect",17380,"1069-50000","Northern Shoveler"
"Slope",17380,"1069-50000","Northern Shoveler"
"Precipitation",20000,"1000-50000","Northern Shoveler"
"Developed high intensity",17380,"50-50000","Northern Shoveler"
"Max temperature",20000,"1000-50000","Northern Shoveler"
"Barren land",27573,"1069-50000","Northern Shoveler"
"Deciduous forest",19418,"1069-47961","Northern Shoveler"
"Evergreen forest",11263,"1069-47961","Northern Shoveler"
"Mixed forest",17380,"1069-47961","Northern Shoveler"
"Shrub scrub",17380,"50-50000","Northern Shoveler"
"Grassland herbaceous",25535,"3108-50000","Northern Shoveler"
"Pasture hay",15341,"1069-50000","Northern Shoveler"
"Developed low intensity",10244,"1069-45922","Northern Waterthrush"
"Cultivated crop",19418,"1069-50000","Northern Waterthrush"
"Woody wetland",50,"50-50","Northern Waterthrush"
"Emergent wetland",19418,"50-50000","Northern Waterthrush"
"Ocean",19418,"1069-47961","Northern Waterthrush"
"Lakes",13302,"1069-47961","Northern Waterthrush"
"Rivers",21457,"50-50000","Northern Waterthrush"
"Elevation",19418,"50-50000","Northern Waterthrush"
"Aspect",21457,"50-50000","Northern Waterthrush"
"Slope",25535,"1069-50000","Northern Waterthrush"
"Precipitation",20000,"1000-50000","Northern Waterthrush"
"Developed high intensity",19418,"1069-50000","Northern Waterthrush"
"Max temperature",24000,"2000-50000","Northern Waterthrush"
"Barren land",17380,"50-50000","Northern Waterthrush"
"Deciduous forest",21457,"50-50000","Northern Waterthrush"
"Evergreen forest",5147,"1069-25535","Northern Waterthrush"
"Mixed forest",10244,"3108-45922","Northern Waterthrush"
"Shrub scrub",23496,"1069-50000","Northern Waterthrush"
"Grassland herbaceous",19418,"50-50000","Northern Waterthrush"
"Pasture hay",21457,"1069-50000","Northern Waterthrush"
"Developed low intensity",15341,"1069-47961","Nuttall's Woodpecker"
"Cultivated crop",13302,"50-50000","Nuttall's Woodpecker"
"Woody wetland",2089,"1069-3108","Nuttall's Woodpecker"
"Emergent wetland",13302,"50-45922","Nuttall's Woodpecker"
"Ocean",23496,"2089-47961","Nuttall's Woodpecker"
"Lakes",33690,"4128-50000","Nuttall's Woodpecker"
"Rivers",19418,"50-50000","Nuttall's Woodpecker"
"Elevation",9224,"50-47961","Nuttall's Woodpecker"
"Aspect",23496,"1069-50000","Nuttall's Woodpecker"
"Slope",21457,"50-50000","Nuttall's Woodpecker"
"Precipitation",22000,"1000-50000","Nuttall's Woodpecker"
"Developed high intensity",3108,"50-45922","Nuttall's Woodpecker"
"Max temperature",14000,"1000-48000","Nuttall's Woodpecker"
"Barren land",17380,"50-47961","Nuttall's Woodpecker"
"Deciduous forest",29612,"1069-50000","Nuttall's Woodpecker"
"Evergreen forest",25535,"50-50000","Nuttall's Woodpecker"
"Mixed forest",13302,"50-47961","Nuttall's Woodpecker"
"Shrub scrub",17380,"50-50000","Nuttall's Woodpecker"
"Grassland herbaceous",23496,"5147-50000","Nuttall's Woodpecker"
"Pasture hay",13302,"50-47961","Nuttall's Woodpecker"
"Developed low intensity",10244,"1069-47961","Oak Titmouse"
"Cultivated crop",11263,"3108-41845","Oak Titmouse"
"Woody wetland",25535,"50-50000","Oak Titmouse"
"Emergent wetland",23496,"1069-50000","Oak Titmouse"
"Ocean",7186,"1069-45922","Oak Titmouse"
"Lakes",7186,"50-47961","Oak Titmouse"
"Rivers",27573,"1069-50000","Oak Titmouse"
"Elevation",21457,"50-50000","Oak Titmouse"
"Aspect",33690,"5147-50000","Oak Titmouse"
"Slope",11263,"50-47961","Oak Titmouse"
"Precipitation",18000,"1000-48000","Oak Titmouse"
"Developed high intensity",11263,"50-50000","Oak Titmouse"
"Max temperature",9000,"1000-42000","Oak Titmouse"
"Barren land",15341,"50-47961","Oak Titmouse"
"Deciduous forest",27573,"2089-50000","Oak Titmouse"
"Evergreen forest",10244,"50-47961","Oak Titmouse"
"Mixed forest",5147,"1069-25535","Oak Titmouse"
"Shrub scrub",7186,"50-43884","Oak Titmouse"
"Grassland herbaceous",41845,"27573-50000","Oak Titmouse"
"Pasture hay",17380,"50-50000","Oak Titmouse"
"Developed low intensity",7186,"1069-43884","Olive-sided Flycatcher"
"Cultivated crop",21457,"1069-50000","Olive-sided Flycatcher"
"Woody wetland",23496,"1069-50000","Olive-sided Flycatcher"
"Emergent wetland",15341,"50-50000","Olive-sided Flycatcher"
"Ocean",27573,"50-50000","Olive-sided Flycatcher"
"Lakes",15341,"1069-47961","Olive-sided Flycatcher"
"Rivers",21457,"1069-50000","Olive-sided Flycatcher"
"Elevation",19418,"50-50000","Olive-sided Flycatcher"
"Aspect",25535,"1069-50000","Olive-sided Flycatcher"
"Slope",13302,"50-47961","Olive-sided Flycatcher"
"Precipitation",24000,"2000-50000","Olive-sided Flycatcher"
"Developed high intensity",13302,"50-50000","Olive-sided Flycatcher"
"Max temperature",5000,"1000-20000","Olive-sided Flycatcher"
"Barren land",27573,"2089-50000","Olive-sided Flycatcher"
"Deciduous forest",19418,"3108-47961","Olive-sided Flycatcher"
"Evergreen forest",4128,"1069-25535","Olive-sided Flycatcher"
"Mixed forest",19418,"1069-50000","Olive-sided Flycatcher"
"Shrub scrub",21457,"1069-50000","Olive-sided Flycatcher"
"Grassland herbaceous",25535,"1069-50000","Olive-sided Flycatcher"
"Pasture hay",19418,"50-50000","Olive-sided Flycatcher"
"Developed low intensity",13302,"50-47961","Orange-crowned Warbler"
"Cultivated crop",21457,"50-50000","Orange-crowned Warbler"
"Woody wetland",21457,"50-50000","Orange-crowned Warbler"
"Emergent wetland",29612,"1069-50000","Orange-crowned Warbler"
"Ocean",17380,"50-50000","Orange-crowned Warbler"
"Lakes",27573,"1069-50000","Orange-crowned Warbler"
"Rivers",17380,"1069-47961","Orange-crowned Warbler"
"Elevation",21457,"1069-50000","Orange-crowned Warbler"
"Aspect",27573,"3108-50000","Orange-crowned Warbler"
"Slope",8205,"1069-45922","Orange-crowned Warbler"
"Precipitation",18000,"1000-50000","Orange-crowned Warbler"
"Developed high intensity",17380,"50-50000","Orange-crowned Warbler"
"Max temperature",10000,"1000-42000","Orange-crowned Warbler"
"Barren land",19418,"50-50000","Orange-crowned Warbler"
"Deciduous forest",9224,"1069-45922","Orange-crowned Warbler"
"Evergreen forest",10244,"1069-47961","Orange-crowned Warbler"
"Mixed forest",11263,"1069-45922","Orange-crowned Warbler"
"Shrub scrub",23496,"1069-50000","Orange-crowned Warbler"
"Grassland herbaceous",19418,"50-47961","Orange-crowned Warbler"
"Pasture hay",23496,"6166-47961","Orange-crowned Warbler"
"Developed low intensity",2089,"1069-5147","Orchard Oriole"
"Cultivated crop",3108,"1069-15341","Orchard Oriole"
"Woody wetland",21457,"50-50000","Orchard Oriole"
"Emergent wetland",27573,"4128-50000","Orchard Oriole"
"Ocean",19418,"50-50000","Orchard Oriole"
"Lakes",19418,"1069-50000","Orchard Oriole"
"Rivers",39806,"3108-50000","Orchard Oriole"
"Elevation",15341,"50-50000","Orchard Oriole"
"Aspect",6166,"1069-45922","Orchard Oriole"
"Slope",31651,"1069-50000","Orchard Oriole"
"Precipitation",20000,"1000-50000","Orchard Oriole"
"Developed high intensity",37767,"3108-50000","Orchard Oriole"
"Max temperature",14000,"1000-50000","Orchard Oriole"
"Barren land",19418,"50-50000","Orchard Oriole"
"Deciduous forest",23496,"1069-50000","Orchard Oriole"
"Evergreen forest",13302,"2089-47961","Orchard Oriole"
"Mixed forest",21457,"1069-50000","Orchard Oriole"
"Shrub scrub",15341,"1069-47961","Orchard Oriole"
"Grassland herbaceous",13302,"50-47961","Orchard Oriole"
"Pasture hay",50,"50-1069","Orchard Oriole"
"Developed low intensity",9224,"50-50000","Osprey"
"Cultivated crop",23496,"50-50000","Osprey"
"Woody wetland",29612,"1069-50000","Osprey"
"Emergent wetland",2089,"50-27573","Osprey"
"Ocean",2089,"1069-4128","Osprey"
"Lakes",1069,"1069-1069","Osprey"
"Rivers",1069,"1069-1069","Osprey"
"Elevation",19418,"50-50000","Osprey"
"Aspect",15341,"6166-33690","Osprey"
"Slope",3108,"50-37767","Osprey"
"Precipitation",22000,"1000-50000","Osprey"
"Developed high intensity",21457,"1069-47961","Osprey"
"Max temperature",7000,"1000-32000","Osprey"
"Barren land",21457,"1069-47961","Osprey"
"Deciduous forest",19418,"50-50000","Osprey"
"Evergreen forest",43884,"25535-50000","Osprey"
"Mixed forest",31651,"5147-50000","Osprey"
"Shrub scrub",19418,"50-50000","Osprey"
"Grassland herbaceous",17380,"50-50000","Osprey"
"Pasture hay",27573,"2089-50000","Osprey"
"Developed low intensity",1069,"1069-2089","Ovenbird"
"Cultivated crop",3108,"1069-6166","Ovenbird"
"Woody wetland",43884,"15341-50000","Ovenbird"
"Emergent wetland",5147,"1069-45922","Ovenbird"
"Ocean",9224,"50-47961","Ovenbird"
"Lakes",1069,"50-1069","Ovenbird"
"Rivers",25535,"1069-50000","Ovenbird"
"Elevation",17380,"50-50000","Ovenbird"
"Aspect",11263,"2089-47961","Ovenbird"
"Slope",33690,"50-50000","Ovenbird"
"Precipitation",3000,"1000-10000","Ovenbird"
"Developed high intensity",17380,"13302-31651","Ovenbird"
"Max temperature",1000,"1000-3000","Ovenbird"
"Barren land",33690,"1069-50000","Ovenbird"
"Deciduous forest",50,"50-50","Ovenbird"
"Evergreen forest",1069,"1069-2089","Ovenbird"
"Mixed forest",50,"50-50","Ovenbird"
"Shrub scrub",17380,"50-50000","Ovenbird"
"Grassland herbaceous",7186,"50-47961","Ovenbird"
"Pasture hay",6166,"1069-45922","Ovenbird"
"Developed low intensity",17380,"50-50000","Pacific Wren"
"Cultivated crop",17380,"1069-47961","Pacific Wren"
"Woody wetland",17380,"50-47961","Pacific Wren"
"Emergent wetland",17380,"50-50000","Pacific Wren"
"Ocean",25535,"50-50000","Pacific Wren"
"Lakes",25535,"1069-50000","Pacific Wren"
